Age-standardized death rates (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Female_1976      Male_1976      Total_1976      Female_2013      Male_2013      Total_2013
AUS      1921-1929        0.013594        0.016998        0.015332        0.021653        0.026645        0.024159
AUS      1930-1939        0.012461        0.015827        0.014122        0.020412        0.025459        0.022864
AUS      1940-1949        0.011756        0.015589        0.013580        0.019877        0.025725        0.022598
AUS      1950-1959        0.010148        0.014987        0.012364        0.017759        0.025100        0.021021
AUS      1960-1969        0.009169        0.014668        0.011621        0.016152        0.024696        0.019793
AUS      1970-1979        0.007988        0.013372        0.010327        0.014176        0.022735        0.017689
AUS      1980-1989        0.006443        0.010929        0.008363        0.011672        0.019053        0.014646
AUS      1990-1999        0.005378        0.008761        0.006845        0.009896        0.015653        0.012248
AUS      2000-2009        0.004435        0.006844        0.005501        0.008273        0.012448        0.010030
AUS      2010-2019        0.003851        0.005666        0.004684        0.007213        0.010310        0.008586
AUS      2020-2021        0.003497        0.005136        0.004261        0.006513        0.009265        0.007763
AUT      1947-1949        0.013618        0.017349        0.015230        0.022534        0.027613        0.024655
AUT      1950-1959        0.011814        0.016429        0.013762        0.020615        0.027247        0.023333
AUT      1960-1969        0.010254        0.015570        0.012424        0.018452        0.026352        0.021548
AUT      1970-1979        0.009296        0.014825        0.011491        0.017015        0.025414        0.020167
AUT      1980-1989        0.007739        0.012735        0.009702        0.014421        0.022121        0.017248
AUT      1990-1999        0.006223        0.010402        0.007889        0.011709        0.018338        0.014157
AUT      2000-2009        0.005066        0.008196        0.006369        0.009580        0.014619        0.011541
AUT      2010-2019        0.004335        0.006794        0.005416        0.008214        0.012272        0.009912
AUT      2020-2023        0.004288        0.006740        0.005376        0.008201        0.012331        0.009966
BEL      1841-1849        0.028840        0.030331        0.029496        0.038291        0.040800        0.039394
BEL      1850-1859        0.027318        0.028489        0.027837        0.037083        0.039095        0.037955
BEL      1860-1869        0.026287        0.028054        0.027140        0.035588        0.037895        0.036662
BEL      1870-1879        0.025391        0.028673        0.027171        0.035191        0.039484        0.037510
BEL      1880-1889        0.023534        0.027550        0.025420        0.033188        0.038551        0.035639
BEL      1890-1899        0.023033        0.027183        0.025005        0.033122        0.038648        0.035680
BEL      1900-1909        0.021052        0.025156        0.022863        0.031115        0.036866        0.033561
BEL      1910-1919        0.020450        0.024200        0.022193        0.030850        0.036149        0.033231
BEL      1920-1929        0.017632        0.020974        0.019132        0.027348        0.032230        0.029444
BEL      1930-1939        0.015774        0.019272        0.017393        0.025083        0.030186        0.027342
BEL      1940-1949        0.014659        0.019817        0.017122        0.023917        0.031112        0.027240
BEL      1950-1959        0.011320        0.015311        0.013199        0.019893        0.025671        0.022535
BEL      1960-1969        0.010038        0.014892        0.012233        0.018135        0.025275        0.021263
BEL      1970-1979        0.008938        0.014255        0.011218        0.016287        0.024445        0.019639
BEL      1980-1989        0.007237        0.012210        0.009316        0.013340        0.021358        0.016506
BEL      1990-1999        0.005955        0.010271        0.007739        0.011020        0.018255        0.013814
BEL      2000-2009        0.005168        0.008598        0.006593        0.009634        0.015365        0.011885
BEL      2010-2019        0.004476        0.006953        0.005558        0.008307        0.012526        0.010065
BEL      2020-2023        0.004310        0.006503        0.005290        0.008038        0.011835        0.009664
BGR      1947-1949        0.015448        0.018029        0.016685        0.022787        0.026043        0.024339
BGR      1950-1959        0.012069        0.014358        0.013158        0.019319        0.022294        0.020717
BGR      1960-1969        0.009856        0.012300        0.011021        0.017252        0.020545        0.018790
BGR      1970-1979        0.009807        0.013217        0.011424        0.017767        0.022552        0.019983
BGR      1980-1989        0.009644        0.014215        0.011772        0.017763        0.024259        0.020715
BGR      1990-1999        0.009555        0.014958        0.012028        0.017636        0.025213        0.021005
BGR      2000-2009        0.008482        0.013660        0.010812        0.015772        0.023107        0.018970
BGR      2010-2019        0.007389        0.012217        0.009552        0.013706        0.020763        0.016745
BGR      2020-2021        0.008702        0.015047        0.011453        0.015853        0.025653        0.019912
BLR      1960-1969        0.007374        0.011792        0.008994        0.012513        0.018823        0.014719
BLR      1970-1979        0.007390        0.013199        0.009533        0.012749        0.020994        0.015619
BLR      1980-1989        0.007869        0.014517        0.010365        0.013828        0.023328        0.017127
BLR      1990-1999        0.009115        0.017716        0.012526        0.016185        0.027941        0.020505
BLR      2000-2009        0.008967        0.018581        0.012841        0.016038        0.029162        0.020983
BLR      2010-2018        0.007234        0.015260        0.010385        0.013240        0.024827        0.017467
CAN      1921-1929        0.015556        0.017110        0.016327        0.023336        0.025621        0.024447
CAN      1930-1939        0.013860        0.015740        0.014808        0.021574        0.024361        0.022949
CAN      1940-1949        0.011972        0.014743        0.013373        0.019549        0.023664        0.021585
CAN      1950-1959        0.009727        0.013405        0.011562        0.016623        0.021999        0.019260
CAN      1960-1969        0.008273        0.012794        0.010447        0.014422        0.021223        0.017625
CAN      1970-1979        0.007033        0.011927        0.009258        0.012331        0.019940        0.015676
CAN      1980-1989        0.005944        0.010214        0.007795        0.010582        0.017588        0.013478
CAN      1990-1999        0.005370        0.008871        0.006855        0.009738        0.015718        0.012141
CAN      2000-2009        0.004727        0.007231        0.005800        0.008631        0.012997        0.010403
CAN      2010-2019        0.004106        0.006034        0.004959        0.007470        0.010790        0.008879
CAN      2020-2023        0.004116        0.006160        0.005051        0.007415        0.010790        0.008907
CHE      1876-1879        0.029616        0.032305        0.031033        0.042368        0.045083        0.043858
CHE      1880-1889        0.027745        0.030099        0.028868        0.040478        0.043129        0.041729
CHE      1890-1899        0.025894        0.028074        0.027240        0.038604        0.040835        0.040145
CHE      1900-1909        0.023666        0.026574        0.025033        0.035916        0.039465        0.037559
CHE      1910-1919        0.021164        0.026360        0.022961        0.032829        0.040314        0.035253
CHE      1920-1929        0.018248        0.021374        0.019661        0.029582        0.033812        0.031438
CHE      1930-1939        0.015565        0.019415        0.017233        0.025952        0.031513        0.028268
CHE      1940-1949        0.013351        0.017032        0.014929        0.022940        0.028351        0.025167
CHE      1950-1959        0.010643        0.014692        0.012625        0.019066        0.025066        0.021920
CHE      1960-1969        0.009122        0.013445        0.010999        0.016761        0.023238        0.019471
CHE      1970-1979        0.007423        0.011761        0.009272        0.013726        0.020507        0.016478
CHE      1980-1989        0.005967        0.010247        0.007760        0.011133        0.018062        0.013878
CHE      1990-1999        0.005196        0.008788        0.006721        0.009694        0.015732        0.012096
CHE      2000-2009        0.004387        0.006910        0.005470        0.008287        0.012655        0.010054
CHE      2010-2019        0.003755        0.005610        0.004562        0.007163        0.010436        0.008524
CHE      2020-2023        0.003590        0.005292        0.004358        0.006901        0.009924        0.008209
CHL      1992-1999        0.006518        0.010420        0.008220        0.011588        0.017711        0.014138
CHL      2000-2009        0.005470        0.008829        0.006933        0.009840        0.015230        0.012076
CHL      2010-2019        0.004897        0.007687        0.006118        0.008997        0.013509        0.010890
CZE      1950-1959        0.012220        0.016645        0.014148        0.021785        0.028160        0.024483
CZE      1960-1969        0.010594        0.015965        0.012908        0.019354        0.027357        0.022656
CZE      1970-1979        0.010328        0.016669        0.012946        0.019008        0.028614        0.022752
CZE      1980-1989        0.010041        0.016487        0.012709        0.018611        0.028359        0.022403
CZE      1990-1999        0.008390        0.014356        0.010759        0.015663        0.024651        0.019023
CZE      2000-2009        0.006723        0.011131        0.008579        0.012754        0.019554        0.015446
CZE      2010-2019        0.005481        0.009125        0.007040        0.010438        0.016225        0.012786
