Life expectancy at birth (period, 1x10) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
AUS      1921-1929     64.66    60.73    62.55
AUS      1930-1939     67.42    63.48    65.34
AUS      1940-1949     69.77    65.49    67.54
AUS      1950-1959     72.86    67.10    69.85
AUS      1960-1969     74.29    67.73    70.86
AUS      1970-1979     76.09    69.14    72.49
AUS      1980-1989     78.91    72.27    75.54
AUS      1990-1999     81.08    75.25    78.16
AUS      2000-2009     83.20    78.35    80.79
AUS      2010-2019     84.67    80.56    82.63
AUS      2020-2021     85.56    81.56    83.56
AUT      1947-1949     65.15    60.15    62.72
AUT      1950-1959     69.82    64.19    67.10
AUT      1960-1969     72.95    66.45    69.82
AUT      1970-1979     74.68    67.62    71.30
AUT      1980-1989     77.28    70.32    73.98
AUT      1990-1999     79.81    73.30    76.72
AUT      2000-2009     82.14    76.50    79.44
AUT      2010-2019     83.69    78.75    81.28
AUT      2020-2023     83.87    79.06    81.48
BEL      1841-1849     38.59    38.45    38.53
BEL      1850-1859     40.65    40.29    40.47
BEL      1860-1869     41.36    40.00    40.66
BEL      1870-1879     43.29    41.08    42.15
BEL      1880-1889     46.25    43.16    44.65
BEL      1890-1899     47.73    44.25    45.94
BEL      1900-1909     51.19    47.87    49.49
BEL      1910-1919     52.67    49.16    50.88
BEL      1920-1929     57.98    54.37    56.15
BEL      1930-1939     61.38    57.23    59.26
BEL      1940-1949     63.64    57.62    60.52
BEL      1950-1959     71.12    65.92    68.48
BEL      1960-1969     73.53    67.44    70.44
BEL      1970-1979     75.25    68.73    71.96
BEL      1980-1989     77.80    71.11    74.46
BEL      1990-1999     80.09    73.50    76.83
BEL      2000-2009     81.73    75.93    78.88
BEL      2010-2019     83.28    78.44    80.89
BEL      2020-2023     83.72    79.32    81.54
BGR      1947-1949     57.58    54.45    56.00
BGR      1950-1959     65.75    62.39    64.06
BGR      1960-1969     72.40    68.59    70.47
BGR      1970-1979     73.57    68.73    71.07
BGR      1980-1989     74.41    68.38    71.28
BGR      1990-1999     74.69    67.58    71.00
BGR      2000-2009     76.16    69.14    72.57
BGR      2010-2019     78.15    71.12    74.58
BGR      2020-2021     76.24    68.98    72.46
BLR      1960-1969     75.82    68.57    72.68
BLR      1970-1979     76.35    67.36    72.27
BLR      1980-1989     75.94    66.50    71.52
BLR      1990-1999     74.62    63.66    69.13
BLR      2000-2009     75.23    63.39    69.18
BLR      2010-2018     78.19    67.39    72.87
CAN      1921-1929     59.21    56.86    58.01
CAN      1930-1939     63.24    60.62    61.87
CAN      1940-1949     67.71    64.04    65.75
CAN      1950-1959     72.39    67.18    69.60
CAN      1960-1969     75.07    68.66    71.66
CAN      1970-1979     77.32    70.12    73.56
CAN      1980-1989     79.68    72.90    76.25
CAN      1990-1999     81.02    75.11    78.09
CAN      2000-2009     82.46    77.68    80.13
CAN      2010-2019     83.88    79.68    81.82
CAN      2020-2023     83.81    79.25    81.52
CHE      1876-1879     42.17    39.14    40.63
CHE      1880-1889     45.53    43.01    44.26
CHE      1890-1899     48.59    45.73    47.15
CHE      1900-1909     51.62    48.77    50.19
CHE      1910-1919     55.31    51.88    53.58
CHE      1920-1929     60.65    57.51    59.09
CHE      1930-1939     64.49    60.58    62.55
CHE      1940-1949     67.88    63.66    65.80
CHE      1950-1959     72.46    67.56    70.05
CHE      1960-1969     74.95    69.18    72.10
CHE      1970-1979     77.61    71.20    74.44
CHE      1980-1989     79.99    73.26    76.68
CHE      1990-1999     81.69    75.31    78.58
CHE      2000-2009     83.49    78.46    81.07
CHE      2010-2019     85.00    80.95    83.05
CHE      2020-2023     85.47    81.61    83.57
CHL      1992-1999     78.46    72.09    75.29
CHL      2000-2009     80.62    74.52    77.61
CHL      2010-2019     81.93    76.53    79.28
CZE      1950-1959     70.39    65.23    67.84
CZE      1960-1969     73.39    66.99    70.21
CZE      1970-1979     73.83    66.79    70.30
CZE      1980-1989     74.68    67.44    71.04
CZE      1990-1999     76.75    69.52    73.14
CZE      2000-2009     79.32    72.86    76.13
CZE      2010-2019     81.45    75.48    78.49
CZE      2020-2021     80.90    74.66    77.73
DEUTE    1956-1959     70.80    66.23    68.67
DEUTE    1960-1969     72.65    67.69    70.36
DEUTE    1970-1979     74.25    68.69    71.71
DEUTE    1980-1989     75.47    69.47    72.71
DEUTE    1990-1999     78.28    71.08    74.82
DEUTE    2000-2009     81.66    75.20    78.52
DEUTE    2010-2019     83.11    77.26    80.18
DEUTNP   1990-1999     79.59    73.14    76.52
DEUTNP   2000-2009     81.83    76.17    79.10
DEUTNP   2010-2019     83.10    78.22    80.69
DEUTW    1956-1959     71.45    66.31    68.97
DEUTW    1960-1969     73.11    67.26    70.30
DEUTW    1970-1979     74.83    68.26    71.71
DEUTW    1980-1989     77.88    71.27    74.79
DEUTW    1990-1999     79.92    73.63    76.94
DEUTW    2000-2009     81.87    76.41    79.24
DEUTW    2010-2019     83.09    78.45    80.81
DNK      1835-1839     42.40    39.60    40.97
DNK      1840-1849     43.19    40.54    41.85
DNK      1850-1859     44.59    42.09    43.32
DNK      1860-1869     45.60    43.71    44.64
DNK      1870-1879     47.38    45.53    46.44
DNK      1880-1889     48.88    46.88    47.86
DNK      1890-1899     51.09    48.36    49.71
DNK      1900-1909     56.47    53.35    54.91
DNK      1910-1919     58.92    56.18    57.55
DNK      1920-1929     61.92    60.31    61.10
DNK      1930-1939     64.58    62.56    63.56
DNK      1940-1949     68.63    66.49    67.55
DNK      1950-1959     72.98    69.99    71.48
