Life expectancy at birth (cohort, 1x10) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
CHE      1876-1879     48.02    43.93    45.96
CHE      1880-1889     52.46    48.21    50.34
CHE      1890-1899     57.34    51.82    54.62
CHE      1900-1909     62.69    56.24    59.49
CHE      1910-1919     68.85    61.48    65.15
CHE      1920-1929     74.91    67.25    71.10
CHE      1930-1932     77.70    70.58    74.13
DNK      1835-1839     45.54    42.91    44.21
DNK      1840-1849     45.30    42.90    44.09
DNK      1850-1859     46.68    44.74    45.71
DNK      1860-1869     49.08    47.35    48.22
DNK      1870-1879     51.45    49.96    50.70
DNK      1880-1889     54.01    51.93    52.97
DNK      1890-1899     58.87    54.81    56.84
DNK      1900-1909     64.30    58.73    61.50
DNK      1910-1919     68.18    61.93    65.01
DNK      1920-1929     70.78    64.40    67.55
DNK      1930-1933     72.59    66.72    69.61
ESP      1908-1909     50.04    44.38    47.16
ESP      1910-1919     53.28    46.56    49.95
ESP      1920-1929     60.94    54.24    57.53
ESP      1930-1932     65.92    58.77    62.27
FIN      1878-1879     44.81    39.83    42.30
FIN      1880-1889     46.11    40.55    43.33
FIN      1890-1899     49.51    42.33    45.88
FIN      1900-1909     54.26    45.70    49.89
FIN      1910-1919     59.17    47.50    53.17
FIN      1920-1929     67.35    55.33    61.16
FIN      1930-1933     72.46    63.25    67.69
FRACNP   1816-1819     39.77    37.43    38.57
FRACNP   1820-1829     39.67    37.53    38.57
FRACNP   1830-1839     41.06    38.73    39.86
FRACNP   1840-1849     42.53    39.74    41.10
FRACNP   1850-1859     42.96    39.62    41.25
FRACNP   1860-1869     44.53    40.67    42.56
FRACNP   1870-1879     47.10    42.49    44.82
FRACNP   1880-1889     49.89    44.05    47.10
FRACNP   1890-1899     53.49    46.30    50.05
FRACNP   1900-1909     58.75    51.32    54.93
FRACNP   1910-1919     63.08    54.97    58.97
FRACNP   1920-1929     70.44    61.17    65.69
FRACNP   1930-1932     74.34    64.86    69.46
FRATNP   1816-1819     39.77    37.43    38.57
FRATNP   1820-1829     39.67    37.53    38.57
FRATNP   1830-1839     41.06    38.73    39.86
FRATNP   1840-1849     42.53    39.74    41.10
FRATNP   1850-1859     42.96    39.62    41.25
FRATNP   1860-1869     44.53    40.69    42.56
FRATNP   1870-1879     47.10    42.11    44.54
FRATNP   1880-1889     49.88    40.61    45.13
FRATNP   1890-1899     53.44    40.99    47.03
FRATNP   1900-1909     58.58    50.80    54.56
FRATNP   1910-1919     62.55    53.22    57.73
FRATNP   1920-1929     69.99    60.31    65.01
FRATNP   1930-1932     74.23    64.77    69.36
GBR_SCO  1855-1859     44.71    42.36    43.53
GBR_SCO  1860-1869     45.73    43.07    44.39
GBR_SCO  1870-1879     48.95    46.00    47.46
GBR_SCO  1880-1889     52.30    48.43    50.41
GBR_SCO  1890-1899     54.60    49.19    51.99
GBR_SCO  1900-1909     58.61    52.16    55.39
GBR_SCO  1910-1919     61.16    54.64    57.93
GBR_SCO  1920-1929     65.79    59.06    62.41
GBR_SCO  1930-1931     68.77    62.73    65.74
GBRCENW  1841-1849     43.10    39.72    41.40
GBRCENW  1850-1859     44.85    41.30    43.05
GBRCENW  1860-1869     47.39    43.42    45.38
GBRCENW  1870-1879     50.90    46.09    48.49
GBRCENW  1880-1889     54.09    48.09    51.15
GBRCENW  1890-1899     55.56    48.82    52.31
GBRCENW  1900-1909     60.15    53.43    56.76
GBRCENW  1910-1919     64.52    57.79    61.14
GBRCENW  1920-1929     69.86    63.48    66.63
GBRCENW  1930-1931     73.12    67.11    70.06
GBRTENW  1841-1849     43.10    39.73    41.40
GBRTENW  1850-1859     44.85    41.30    43.05
GBRTENW  1860-1869     47.39    43.42    45.38
GBRTENW  1870-1879     50.90    45.92    48.39
GBRTENW  1880-1889     54.09    46.71    50.40
GBRTENW  1890-1899     55.56    45.25    50.35
GBRTENW  1900-1909     60.15    53.20    56.63
GBRTENW  1910-1919     64.53    56.96    60.68
GBRTENW  1920-1929     69.88    62.24    65.96
GBRTENW  1930-1931     73.12    67.12    70.06
ISL      1838-1839     33.77    30.31    32.05
ISL      1840-1849     37.52    31.19    34.28
ISL      1850-1859     39.22    34.11    36.64
ISL      1860-1869     41.40    35.49    38.38
ISL      1870-1879     45.44    39.75    42.58
ISL      1880-1889     48.13    43.33    45.67
ISL      1890-1899     57.53    53.07    55.26
ISL      1900-1909     60.55    55.10    57.71
ISL      1910-1919     67.45    60.54    63.86
ISL      1920-1929     73.21    66.86    69.91
ISL      1930-1932     76.06    70.73    73.31
ITA      1872-1879     38.26    36.86    37.55
ITA      1880-1889     41.26    37.99    39.65
ITA      1890-1899     46.73    39.58    43.12
ITA      1900-1909     51.88    47.24    49.56
ITA      1910-1919     56.22    49.72    52.95
ITA      1920-1929     63.99    55.87    59.87
ITA      1930-1931     68.14    61.23    64.66
NLD      1850-1859     40.98    38.95    39.95
